name;;Jami;
Summary;;Decentralized chat;
Android Google Play;yes;https://play.google.com/store/apps/details?id=cx.ring;
Android F-droid/apk;yes;https://f-droid.org/en/packages/cx.ring/;
Apple iOS;yes;https://git.jami.net/savoirfairelinux/jami-client-ios;
Desktop;yes;https://packages.ubuntu.com/impish/jami https://jami.net/download/;
Web;no;https://jami.net/download/;
Languages;yes;many https://git.jami.net/savoirfairelinux/jami-project/-/wikis/features/All-features-by-client#other-features https://github.com/savoirfairelinux/jami-client-android/tree/master/ring-android/app/src/main/res;
Protocol;;SIP, OpenDHT https://en.m.wikipedia.org/wiki/Jami_(software);
Protocol open;yes;https://git.jami.net/savoirfairelinux/jami-project/-/wikis/technical/Technical-overview;
Server license;yes;GPLv3 https://git.jami.net/savoirfairelinux/jami-nameservice https://github.com/savoirfairelinux/opendht;
Client license;yes;GPLv3+;
Register without app;no;;
Group chat;no;https://forum.jami.net/t/am-i-able-to-create-group-chats/123;
Voice calls;partial;https://jami.net/help/#answer11;Have tested Jami for about a year, and calls are not working reliably, if at all.
Video calls;partial;https://jami.net/help/#answer11;Just like with calls, Jami isn't intercepting video-calls reliably
Group calls;partial;by forwarding by the initiator https://jami.net/help/#answer12 https://jami.net/the-jami-conferencing-system/;
Read public content without registering;no;;
Multiple devices;yes;https://jami.net/the-jami-quirks/#connecting-multiple-devices-to-the-same-account;
Message expiration;no;;
Spam protection;no;;
Account deactivation after device compromise;yes;https://git.jami.net/savoirfairelinux/jami-project/-/wikis/technical/Technical-overview#user-content-usages;
Account recovery after device compromise;no;https://jami.net/help/#answer5;
Power saving;no;partial offload by OpenDHT proxy https://jami.net/why-is-jami-truly-distributed/;background transfers deplete the battery faster noticeably
Bandwidth frugal;no;transfers constantly in the background;according to testing by editors
End-to-end encryption;yes;https://jami.net/why-is-jami-truly-distributed/ https://linuxkamarada.com/en/2021/05/25/the-jami-messenger/;
E2EE keys shielded from operator;yes;https://jami.net/why-is-jami-truly-distributed/ https://linuxkamarada.com/en/2021/05/25/the-jami-messenger/;
Contact list confidential;partial;not published, but leaks;leaks through OpenDHT proxy, Jami name server and ICE https://jami.net/why-is-jami-truly-distributed/ https://linuxkamarada.com/en/2021/05/25/the-jami-messenger/
Perfect forward secrecy;yes;https://git.jami.net/savoirfairelinux/jami-project/-/wikis/technical/Technical-overview#user-content-security-privacy;
Security team;no;bugs not categorized based on security impact https://git.jami.net/savoirfairelinux/jami-client-qt/-/issues?scope=all&state=all&label_name[]=security;
Reproducible builds;no;https://git.jami.net/savoirfairelinux/jami-packaging/-/issues/45;
Audits;no;;
Usage without phone number;yes;;
Transparent financing;yes;donations, GNU/EFF in the past;official GNU project with EFF funding in the past, PayPal donations https://jami.net/ https://www.fsf.org/campaigns/priority-projects/voicevideochat https://opensource.com/article/20/5/free-software-communication
No-cost tier;yes;;
Payment choices;;N/A;
Isolated self-hosting;yes;complicated https://jami.net/why-is-jami-truly-distributed/;
User can extend network with node;yes;many parts self-hostable;OpenDHT proxy, bootstrap, TURN, Jami blockchain, Jami name server https://jami.net/why-is-jami-truly-distributed/
Identity not controlled by vendor;yes;names are optional and stored on a blockchain https://jami.net/why-is-jami-truly-distributed/ https://linuxkamarada.com/en/2021/05/25/the-jami-messenger/;
Offline;yes;https://linuxkamarada.com/en/2021/05/25/the-jami-messenger/;
Servers required;;DNS, OpenDHT proxy, GCN/Apple push, bootstrap, TURN https://jami.net/why-is-jami-truly-distributed/;
Servers optional;;Jami name server https://jami.net/why-is-jami-truly-distributed/;
Serverless WAN mode;no;only data traffic is P2P;(TODO: with IP and SIP?) https://jami.net/why-is-jami-truly-distributed/
Serverless LAN mode;no;https://jami.net/why-is-jami-truly-distributed/;
Network store and forward;no;https://jami.net/why-is-jami-truly-distributed/ https://linuxkamarada.com/en/2021/05/25/the-jami-messenger/;
Wireless mode;no;https://jami.net/why-is-jami-truly-distributed/;
IP shielded from peers;yes;not over STUN https://jami.net/establishing-peer-to-peer-connections-with-jami/;
Third party clients;partial;no alternative client;
IPv6 access of vendor operated network;no;https://git.jami.net/savoirfairelinux/jami-project/-/issues/847;
Vendor jurisdiction;;Canada with two offices in France;
Infrastructure jurisdiction;;Canada;
Infrastructure provider;;Savoir-faire Linux (default);
First release;yes;2004-12-22 (as SFLphone) http://freshmeat.sourceforge.net/projects/sflphone/releases?page=3;
