name;;FluffyChat;
Android Google Play;yes;https://play.google.com/store/apps/details?id=chat.fluffy.fluffychat;
Android F-droid/apk;yes;https://f-droid.org/de/packages/chat.fluffy.fluffychat/;
Apple iOS;yes;https://apps.apple.com/app/fluffychat/id1551469600;
Desktop;yes;https://snapcraft.io/fluffychat https://flathub.org/apps/details/im.fluffychat.Fluffychat;
Web;yes;https://fluffychat.im/web;
Languages;yes;12+ https://gitlab.com/famedly/fluffychat;
Protocol;;Matrix;
Protocol open;yes;https://spec.matrix.org/latest/;
Client license;yes;AGPLv3 https://gitlab.com/famedly/fluffychat/-/blob/main/LICENSE;
Group chat;yes;;
Voice calls;yes;WebRTC https://matrix.org/faq/#what-can-i-actually-do-with-this%3F;
Video calls;yes;WebRTC https://matrix.org/faq/#what-can-i-actually-do-with-this%3F;
Group calls;yes;via Jitsi https://matrix.org/faq/#what-can-i-actually-do-with-this%3F;
Multiple devices;yes;
Multiple accounts;yes;
Application locking;yes;Android - custom 4 digit PIN;
End-to-end encryption;yes;https://matrix.org/faq/#which-matrix-clients-support-e2e;
Message expiration;no;;
Usage without phone number;yes;;
Account deactivation after device compromise;yes;;
Account recovery after device compromise;yes;;
Offline;partial;compose or read recent messages on Mobile/Desktop, no Web startup;Buffered messages on Mobile/Desktop, Fluffychat Web lacks offline startup via Web Workers
Servers required;;Matrix homeserver e.g. Synapse, Dendride, Conduit, notifications push via FCM or Unified push;
Serverless WAN mode;no;;
Serverless LAN mode;no;;
IP shielded from peers;yes;Not during calls if you enable WebRTC;
